point_id,utm_easting,utm_northing,utm_zone,elevation,array,Ellipsoidal_Ht,Ortho_Ht,mic_type,notes
SBT-3-15-37,451991.4422,6096768.627,12,616.0777,SBT-3-15,592.891,616.0777,EXTMIC,calculated 3D shift manually
SBT-3-15-38,452024.1006,6096776.348,12,623.5827,SBT-3-15,600.396,623.5827,EXTMIC,calculated 3D shift manually
SBT-3-15-39,452066.8058,6096769.096,12,621.9686,SBT-3-15,598.782,621.9686,EXTMIC,calculated 3D shift manually
SBT-3-15-40,452094.3109,6096780.972,12,618.7245,SBT-3-15,595.538,618.7245,EXTMIC,calculated 3D shift manually
SBT-3-15-41,451954.0948,6096739.329,12,618.0849,SBT-3-15,594.898,618.0849,ARU,calculated 3D shift manually
SBT-3-15-42,451992.659,6096735.78,12,622.7226,SBT-3-15,599.536,622.7226,ARU,calculated 3D shift manually
SBT-3-15-43,452020.2147,6096736.409,12,624.1821,SBT-3-15,600.995,624.1821,ARU,calculated 3D shift manually
SBT-3-15-44,452057.7905,6096742.854,12,624.2365,SBT-3-15,601.05,624.2365,ARU,calculated 3D shift manually
SBT-3-15-45,452098.1382,6096739.322,12,619.9073,SBT-3-15,596.72,619.9073,ARU,calculated 3D shift manually
SBT-3-15-46,451957.6038,6096701.64,12,619.9242,SBT-3-15,596.737,619.9242,EXTMIC,calculated 3D shift manually
SBT-3-15-47,451988.0249,6096696.038,12,617.4475,SBT-3-15,594.261,617.4475,EXTMIC,calculated 3D shift manually
SBT-3-15-48,452022.3619,6096704.546,12,622.4167,SBT-3-15,599.23,622.4167,EXTMIC,calculated 3D shift manually
SBT-3-15-49,452059.9002,6096710.753,12,625.7754,SBT-3-15,602.588,625.7754,EXTMIC,calculated 3D shift manually
SBT-3-15-50,452093.6072,6096707.746,12,622.9323,SBT-3-15,599.745,622.9323,EXTMIC,calculated 3D shift manually
SBT-3-18-1,442017.2188,6094981.604,12,608.0338,SBT-3-18,585.0098,608.0338,ARU,
SBT-3-18-2,442045.6022,6095002.126,12,609.6853,SBT-3-18,586.6613,609.6853,ARU,
SBT-3-18-3,442076.4388,6095020.428,12,615.1406,SBT-3-18,592.1166,615.1406,ARU,
SBT-3-18-4,442107.6932,6095042.684,12,617.38,SBT-3-18,594.356,617.38,ARU,
SBT-3-18-5,442133.3503,6095053.987,12,623.1276,SBT-3-18,600.1036,623.1276,ARU,
SBT-3-18-6,442031.9434,6094954.585,12,608.0369,SBT-3-18,585.0129,608.0369,EXTMIC,
SBT-3-18-7,442063.7972,6094975.264,12,610.5215,SBT-3-18,587.4975,610.5215,EXTMIC,
SBT-3-18-8,442091.4378,6094994.952,12,614.4095,SBT-3-18,591.3855,614.4095,EXTMIC,
SBT-3-18-9,442122.9046,6095011.02,12,614.6664,SBT-3-18,591.6424,614.6664,EXTMIC,
SBT-3-18-10,442155.303,6095030.253,12,621.0752,SBT-3-18,598.0512,621.0752,EXTMIC,
SBT-3-18-11,442052.5013,6094925.133,12,604.8124,SBT-3-18,581.7884,604.8124,ARU,
SBT-3-18-12,442077.67,6094940.314,12,609.2288,SBT-3-18,586.2048,609.2288,ARU,
SBT-3-18-13,442117.9998,6094958.85,12,611.7101,SBT-3-18,588.6861,611.7101,ARU,
SBT-3-18-14,442142.4507,6094982.105,12,613.8527,SBT-3-18,590.8287,613.8527,ARU,
SBT-3-18-15,442165.9508,6094996.186,12,618.1783,SBT-3-18,595.1543,618.1783,ARU,
SBT-3-18-16,442067.8125,6094895.794,12,605.2136,SBT-3-18,582.1896,605.2136,EXTMIC,
SBT-3-18-17,442094.6212,6094920.253,12,607.9282,SBT-3-18,584.9042,607.9282,EXTMIC,
SBT-3-18-18,442130.6231,6094931.691,12,610.7582,SBT-3-18,587.7342,610.7582,EXTMIC,
SBT-3-18-19,442159.7328,6094945.809,12,612.6921,SBT-3-18,589.6681,612.6921,EXTMIC,
SBT-3-18-20,442193.7705,6094966.803,12,618.3237,SBT-3-18,595.2997,618.3237,EXTMIC,
SBT-3-18-21,442092.0057,6094860.747,12,601.5627,SBT-3-18,578.5387,601.5627,ARU,
SBT-3-18-22,442119.9047,6094882.186,12,606.4719,SBT-3-18,583.4479,606.4719,ARU,
